OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocn883682167,http://www.worldcat.org/oclc/883682167,,,Masters of the American West : fine art exhibition and sale.,2002.3.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2003.",cau,2004,N 8214.5 .U6 M37 2003,eng,,,,,,,,
ocn859213961,http://www.worldcat.org/oclc/859213961,"Betson, Patrick.",http://experiment.worldcat.org/entity/work/data/1404046269#Person/betson_patrick,The ghosts of Lake Tahoe : (the stuff of legends) / Patrick Betson.,2002.3.1,"[Tahoe City, Calif. : [publisher not identified], 2013.",cau,2013,F 868 .T2 B48 2013,eng,,,,,,,,
ocn919474433,http://www.worldcat.org/oclc/919474433,,,"Tahoe : a visual history / Ann M. Wolfe, Nevada Museum of Art.",2002.3.1,"New York, NY : Skira Rizzoli Publications, Inc., 2015.",nyu,2015,F 868 .T2 T34 2015,eng,,,,,,,,
ocn883681091,http://www.worldcat.org/oclc/883681091,,,Masters of the American West : fine art exhibition and sale.,2002.4.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2002.",cau,2002,N 8214.5 .U6 M37 2002,eng,,,,,,,,
ocn883682167,http://www.worldcat.org/oclc/883682167,,,Masters of the American West : fine art exhibition and sale.,2002.4.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2003.",cau,2004,N 8214.5 .U6 M37 2003,eng,,,,,,,,
ocm54848893,http://www.worldcat.org/oclc/54848893,,,Expanded visions : four women artists print the American west / introduction by Marsha Semmel.,2002.41.1,"Denver, Colo. : Women of the West Museum, ©2000.",cou,2000,ND 225 .E87 2000,eng,,,,,,,,
ocm54848893,http://www.worldcat.org/oclc/54848893,,,Expanded visions : four women artists print the American west / introduction by Marsha Semmel.,2002.41.2,"Denver, Colo. : Women of the West Museum, ©2000.",cou,2000,ND 225 .E87 2000,eng,,,,,,,,
ocm54848893,http://www.worldcat.org/oclc/54848893,,,Expanded visions : four women artists print the American west / introduction by Marsha Semmel.,2002.41.3,"Denver, Colo. : Women of the West Museum, ©2000.",cou,2000,ND 225 .E87 2000,eng,,,,,,,,
ocm54848893,http://www.worldcat.org/oclc/54848893,,,Expanded visions : four women artists print the American west / introduction by Marsha Semmel.,2002.41.4,"Denver, Colo. : Women of the West Museum, ©2000.",cou,2000,ND 225 .E87 2000,eng,,,,,,,,
ocn883681091,http://www.worldcat.org/oclc/883681091,,,Masters of the American West : fine art exhibition and sale.,2002.5.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2002.",cau,2002,N 8214.5 .U6 M37 2002,eng,,,,,,,,
